simulation_id,has_seizure,time_to_seizure
1,0,
2,1,1790.1258433125267
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,1,459.2290545458168
12,0,
13,0,
14,0,
15,0,
16,1,697.2741288025826
17,0,
18,0,
19,0,
20,0,
21,1,1084.6209430135543
22,0,
23,1,792.7669487512056
24,0,
25,0,
26,1,691.3858601495226
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,1,1282.9763159938113
40,0,
41,1,408.76608045329505
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0,
49,1,290.9665746138685
50,0,
51,0,
52,1,613.0782679196569
53,0,
54,0,
55,0,
56,1,827.882473491583
57,1,644.516737183692
58,0,
59,0,
60,1,336.64661636970953
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,
68,0,
69,1,233.23440510983346
70,0,
71,0,
72,0,
73,0,
74,0,
75,0,
76,1,861.3570747513364
77,1,1567.3921713343775
78,0,
79,0,
80,0,
81,1,354.58483270884494
82,1,1887.6784229517557
83,0,
84,0,
85,1,1069.5655467645893
86,0,
87,0,
88,0,
89,0,
90,1,956.5988579874287
91,1,536.5624254909987
92,0,
93,0,
94,0,
95,0,
96,0,
97,0,
98,0,
99,0,
100,0,
101,0,
102,0,
103,0,
104,1,87.33266362449211
105,0,
106,0,
107,1,536.1899600187114
108,1,1836.966080485031
109,0,
110,1,106.8579665987331
111,0,
112,0,
113,0,
114,0,
115,0,
116,0,
117,0,
118,0,
119,0,
120,0,
121,0,
122,1,785.72134001075
123,1,752.5280886211823
124,1,235.41846484692445
125,0,
126,1,1409.6529903306896
127,0,
128,0,
129,0,
130,0,
131,0,
132,0,
133,1,152.74716315445585
134,0,
135,0,
136,1,1013.4340970075108
137,0,
138,0,
139,0,
140,0,
141,0,
142,0,
143,0,
144,0,
145,0,
146,0,
147,0,
148,1,886.1428161156306
149,0,
150,0,
151,0,
152,0,
153,0,
154,0,
155,1,2150.092213652619
156,1,371.0051174681177
157,0,
158,1,1216.514528179504
159,0,
160,0,
161,0,
162,0,
163,1,1722.6644099553353
164,0,
165,0,
166,1,1192.051460832077
167,0,
168,0,
169,0,
170,1,721.2165690281385
171,1,1157.0567393492793
172,0,
173,0,
174,0,
175,1,1472.067386144741
176,0,
177,0,
178,1,657.9965027755833
179,0,
180,0,
181,0,
182,1,710.0187528744109
183,0,
184,0,
185,0,
186,0,
187,0,
188,0,
189,1,558.8009891883005
190,0,
191,0,
192,0,
193,0,
194,1,982.1347992616064
195,0,
196,0,
197,0,
198,0,
199,0,
200,0,
201,1,1544.2412436754798
202,1,488.5891566442096
203,0,
204,1,2285.1971260952946
205,0,
206,0,
207,0,
208,0,
209,0,
210,0,
211,0,
212,0,
213,0,
214,1,1015.1887517627824
215,0,
216,0,
217,0,
218,0,
219,1,904.8034107761853
220,0,
221,0,
222,1,258.2865725069819
223,0,
224,0,
225,0,
226,1,90.58545372669892
227,0,
228,0,
229,0,
230,0,
231,0,
232,0,
233,0,
234,1,1224.487670583867
235,1,836.6338393000248
236,0,
237,1,301.4272721191635
238,0,
239,0,
240,0,
241,1,484.18133581764107
242,1,228.54025310019367
243,0,
244,1,1136.408773199301
245,0,
246,1,884.5283384113527
247,1,641.5132755384416
248,0,
249,1,1433.8593879651705
250,0,
251,0,
252,0,
253,0,
254,1,1051.0692436974832
255,0,
256,0,
257,1,1795.6234591691648
258,1,1345.7750867688405
259,0,
260,1,174.75315892643465
261,0,
262,1,1494.945262010705
263,0,
264,0,
265,0,
266,0,
267,0,
268,0,
269,0,
270,1,864.5321044597325
271,0,
272,0,
273,0,
274,0,
275,1,1663.1765020239895
276,1,387.01116008553953
277,0,
278,0,
279,1,80.08609089104034
280,0,
281,1,252.47142966933853
282,0,
283,1,556.6511040885503
284,0,
285,0,
286,1,475.4101289934848
287,0,
288,0,
289,0,
290,0,
291,0,
292,0,
293,0,
294,0,
295,1,65.17761811276267
296,0,
297,0,
298,0,
299,0,
300,0,
301,0,
302,0,
303,0,
304,0,
305,0,
306,0,
307,0,
308,0,
309,0,
310,1,548.7005482717345
311,0,
312,0,
313,0,
314,0,
315,0,
316,0,
317,1,521.4124493278302
318,0,
319,1,101.74651869545994
320,0,
321,0,
322,0,
323,0,
324,0,
325,0,
326,0,
327,1,848.1159846536597
328,1,540.9986235316321
329,0,
330,0,
331,0,
332,0,
333,0,
334,0,
335,0,
336,0,
337,1,930.2482845739988
338,0,
339,1,1159.3607742466547
340,0,
341,0,
342,0,
343,0,
344,0,
345,0,
346,0,
347,0,
348,0,
349,0,
350,0,
351,0,
352,0,
353,0,
354,1,483.00007906010075
355,0,
356,1,304.5341074501883
357,0,
358,0,
359,0,
360,0,
361,0,
362,1,1948.1140595228003
363,0,
364,0,
365,0,
366,1,916.3468993095464
367,0,
368,0,
369,0,
370,1,509.1566515058669
371,1,112.4285860610851
372,0,
373,1,90.43091781620029
374,1,100.04774146933468
375,0,
376,0,
377,0,
378,1,149.83813762080985
379,0,
380,1,514.3786924893327
381,0,
382,1,2017.9066099350491
383,0,
384,0,
385,1,1058.2962268527683
386,1,741.6218053292756
387,1,676.3772121722595
388,0,
389,0,
390,0,
391,0,
392,0,
393,0,
394,0,
395,1,198.5670040287656
396,0,
397,0,
398,0,
399,0,
400,0,
401,1,466.84352756303565
402,1,1530.0372111321135
403,1,1353.0123358473816
404,1,2431.5016208877228
405,0,
406,0,
407,0,
408,0,
409,0,
410,0,
411,0,
412,0,
413,0,
414,0,
415,0,
416,0,
417,0,
418,1,363.2545753854415
419,0,
420,0,
421,1,1242.2957876318615
422,0,
423,0,
424,0,
425,0,
426,1,1640.398168855237
427,1,1221.824431479644
428,0,
429,0,
430,0,
431,0,
432,0,
433,0,
434,0,
435,0,
436,0,
437,0,
438,0,
439,1,1090.8552385792077
440,0,
441,0,
442,1,2695.6346990051316
443,0,
444,0,
445,0,
446,0,
447,0,
448,0,
449,0,
450,1,95.50974310933745
451,0,
452,0,
453,1,1398.8996724248068
454,0,
455,1,94.69221249073948
456,0,
457,1,304.78136127425057
458,0,
459,1,554.3085793773402
460,1,245.26108847319296
461,0,
462,0,
463,0,
464,0,
465,0,
466,0,
467,0,
468,0,
469,0,
470,0,
471,0,
472,0,
473,0,
474,0,
475,0,
476,0,
477,0,
478,1,886.0808202198515
479,0,
480,0,
481,0,
482,1,737.7814711400737
483,1,1498.5928688841714
484,0,
485,0,
486,1,2187.2947310379686
487,0,
488,0,
489,0,
490,0,
491,1,1133.127818047818
492,1,1181.3792937733447
493,1,950.9286825577501
494,0,
495,1,661.2968009558767
496,0,
497,0,
498,1,331.4684534957665
499,0,
500,0,
501,0,
502,1,1305.8437710853314
503,0,
504,0,
505,0,
506,1,349.8817637262717
507,1,226.54024820422748
508,0,
509,0,
510,0,
511,1,200.65568455133362
512,0,
513,1,366.69758622201056
514,0,
515,1,519.6481546630375
516,1,288.21793591722735
517,0,
518,1,1746.2006245520397
519,0,
520,0,
521,0,
522,1,584.1952971545512
523,0,
524,0,
525,0,
526,0,
527,0,
528,0,
529,1,203.66249747357838
530,0,
531,0,
532,0,
533,0,
534,1,668.6404010984153
535,1,1859.275534411113
536,0,
537,1,1597.502570694973
538,1,1010.4249148419107
539,1,1080.444811154362
540,0,
541,1,1605.0339769360603
542,0,
543,0,
544,0,
545,0,
546,0,
547,0,
548,0,
549,1,1078.2575618606663
550,1,2202.541911491563
551,0,
552,1,2003.1009928630838
553,1,101.94177565023445
554,1,1003.4248427775182
555,0,
556,0,
557,1,570.496923588991
558,0,
559,0,
560,0,
561,0,
562,0,
563,0,
564,0,
565,1,1004.4158533561179
566,1,451.28682450458564
567,0,
568,1,1334.6985181160055
569,0,
570,0,
571,1,1640.5581160538927
572,1,604.6268186643013
573,1,1270.6859863420018
574,0,
575,1,301.44539700807974
576,0,
577,1,103.06006708603311
578,1,401.64321376687525
579,0,
580,0,
581,1,147.8776394252218
582,0,
583,0,
584,1,1081.6230604316925
585,0,
586,1,118.83458102417038
587,0,
588,0,
589,1,257.5840866878012
590,0,
591,0,
592,1,263.1652327296756
593,0,
594,0,
595,0,
596,1,520.122166214349
597,1,243.12379253639952
598,1,616.8259272248008
599,0,
600,1,129.074580852208
601,0,
602,0,
603,0,
604,1,599.1214296344151
605,1,639.818371529246
606,0,
607,0,
608,1,77.68160454100334
609,0,
610,1,1920.3766942315406
611,0,
612,0,
613,0,
614,0,
615,1,132.84094038352941
616,0,
617,1,195.78021120143367
618,0,
619,0,
620,0,
621,0,
622,1,89.87698365039164
623,0,
624,0,
625,0,
626,0,
627,0,
628,1,803.534055732648
629,0,
630,0,
631,0,
632,1,1379.8643267445802
633,0,
634,0,
635,0,
636,0,
637,0,
638,0,
639,1,909.3698172732752
640,0,
641,1,218.23311810461763
642,0,
643,0,
644,0,
645,0,
646,1,1864.125282189762
647,0,
648,0,
649,0,
650,1,363.0561933868926
651,0,
652,1,1342.8145711833567
653,0,
654,0,
655,0,
656,0,
657,0,
658,0,
659,1,524.9608384479177
660,1,316.92615535645433
661,1,296.32808012674536
662,0,
663,0,
664,0,
665,1,180.94051916382523
666,1,463.55227716513184
667,0,
668,0,
669,0,
670,0,
671,0,
672,0,
673,1,577.4900423341101
674,0,
675,0,
676,1,281.1197133803743
677,0,
678,0,
679,0,
680,0,
681,0,
682,1,794.5041332954054
683,0,
684,0,
685,0,
686,0,
687,1,1232.5040882076657
688,1,1012.7480085212114
689,0,
690,1,272.14103521702907
691,0,
692,1,708.6296652839468
693,0,
694,1,987.4784559096597
695,1,519.0969742461414
696,0,
697,0,
698,1,765.6036794105901
699,1,163.8776141708742
700,0,
701,1,505.75588270482666
702,0,
703,0,
704,0,
705,0,
706,1,1685.023002539196
707,0,
708,1,1757.5326225221315
709,0,
710,0,
711,0,
712,0,
713,0,
714,0,
715,0,
716,0,
717,0,
718,0,
719,1,149.37390066145036
720,1,1363.5735746283121
721,0,
722,0,
723,0,
724,1,1270.0516101776902
725,0,
726,0,
727,0,
728,0,
729,0,
730,1,477.7297593360146
731,0,
732,0,
733,0,
734,0,
735,1,944.1810192408174
736,0,
737,1,1200.4960210636261
738,0,
739,0,
740,1,487.8536553388519
741,0,
742,1,1076.4137693545608
743,0,
744,1,321.2752190539401
745,0,
746,0,
747,1,292.0836525406745
748,1,520.0555909974086
749,1,370.2463243548147
750,1,501.7917013344181
751,1,134.547324239192
752,0,
753,0,
754,0,
755,0,
756,0,
757,0,
758,0,
759,0,
760,0,
761,0,
762,0,
763,1,895.2077381030426
764,1,366.4920957042626
765,0,
766,0,
767,0,
768,0,
769,0,
770,0,
771,0,
772,0,
773,1,602.5176925205731
774,1,125.80919435613382
775,0,
776,0,
777,0,
778,0,
779,1,2097.5048370758464
780,0,
781,1,1543.1074843784136
782,0,
783,1,66.96182529688294
784,0,
785,1,713.7347614447779
786,0,
787,0,
788,0,
789,0,
790,1,1444.6693796916745
791,1,674.1735533264147
792,1,1014.5763793466285
793,0,
794,1,1269.92811433492
795,0,
796,0,
797,0,
798,0,
799,0,
800,0,
801,0,
802,1,678.1303627710681
803,0,
804,0,
805,0,
806,0,
807,0,
808,0,
809,0,
810,0,
811,0,
812,1,1045.7718752411113
813,0,
814,0,
815,1,66.79136614874302
816,0,
817,0,
818,1,1230.891808361954
819,0,
820,0,
821,0,
822,0,
823,0,
824,0,
825,0,
826,0,
827,0,
828,0,
829,0,
830,0,
831,0,
832,1,633.5655955795785
833,0,
834,0,
835,0,
836,0,
837,1,1357.4643160891674
838,0,
839,1,74.08412239756112
840,0,
841,1,282.1434702678297
842,0,
843,1,895.8372806848902
844,0,
845,0,
846,0,
847,0,
848,1,842.627296403802
849,0,
850,0,
851,1,289.73150869272035
852,0,
853,1,694.8078555843108
854,1,2158.3628158689426
855,0,
856,1,426.3239798565526
857,0,
858,0,
859,0,
860,0,
861,1,766.4371520332242
862,1,1474.141149766211
863,0,
864,0,
865,1,995.7001408012821
866,0,
867,0,
868,0,
869,1,356.1589850226245
870,0,
871,1,150.70511455829597
872,1,577.2954484540014
873,0,
874,0,
875,1,165.84731100541808
876,0,
877,1,603.1040683413531
878,1,1816.6284517243887
879,0,
880,1,145.33252394060395
881,1,757.1792101871448
882,1,611.1081764904668
883,0,
884,0,
885,0,
886,0,
887,0,
888,1,813.9708696673747
889,0,
890,0,
891,0,
892,1,1847.0084699672343
893,0,
894,0,
895,0,
896,1,66.7411355090229
897,0,
898,0,
899,1,289.72424869606436
900,1,147.10539281690356
901,1,855.9994172268789
902,0,
903,0,
904,1,1645.6759755939986
905,0,
906,1,1131.9743618609743
907,0,
908,0,
909,0,
910,0,
911,0,
912,0,
913,1,912.3318555314917
914,0,
915,0,
916,1,504.82620025018855
917,0,
918,0,
919,1,1674.2659784046405
920,0,
921,1,958.2039516240139
922,1,485.7458154725535
923,1,1169.5048613420145
924,0,
925,0,
926,0,
927,0,
928,1,217.35140613808346
929,0,
930,0,
931,1,623.2782055251389
932,0,
933,0,
934,0,
935,1,70.48058735318824
936,0,
937,1,359.12976497328816
938,0,
939,1,188.48109175123702
940,1,479.1731272951379
941,0,
942,0,
943,0,
944,1,1592.7504979382575
945,0,
946,0,
947,0,
948,0,
949,0,
950,0,
951,0,
952,1,2061.861424820897
953,0,
954,0,
955,1,1168.2857320904484
956,1,362.5195198789723
957,1,353.1520658186812
958,0,
959,0,
960,0,
961,1,595.9528321631144
962,0,
963,0,
964,0,
965,0,
966,0,
967,0,
968,0,
969,0,
970,1,754.0467310672304
971,1,335.8613612738553
972,1,2360.717524883662
973,1,1837.5903558039458
974,0,
975,0,
976,0,
977,0,
978,0,
979,0,
980,0,
981,0,
982,0,
983,0,
984,1,650.6691727223566
985,0,
986,0,
987,0,
988,0,
989,0,
990,0,
991,0,
992,0,
993,1,1036.2899175341647
994,1,1624.3586133260442
995,0,
996,0,
997,1,197.8265482817068
998,0,
999,0,
1000,0,
