Time(ms),A1
0,502
1,670
2,506
3,471
4,588
5,420
6,502
7,521
8,614
9,487
10,499
11,551
12,530
13,549
14,657
15,693
16,591
17,676
18,560
19,421
20,652
21,635
22,448
23,458
24,569
25,587
26,670
27,589
28,574
29,450
30,454
31,643
32,530
33,534
34,420
35,566
36,673
37,488
38,413
39,641
40,664
41,452
42,491
43,663
44,434
45,605
46,480
47,449
48,401
49,453
50,505
51,659
52,590
53,617
54,443
55,561
56,601
57,669
58,670
59,614
60,651
61,589
62,695
63,612
64,607
65,636
66,452
67,679
68,616
69,651
70,587
71,440
72,556
73,414
74,464
75,408
76,528
77,535
78,462
79,538
80,480
81,562
82,688
83,660
84,630
85,440
86,427
87,534
88,600
89,667
90,432
91,447
92,461
93,615
94,692
95,498
96,571
97,613
98,434
99,626
100,500
101,530
102,656
103,404
104,617
105,654
106,682
107,606
108,414
109,441
110,578
111,462
112,630
113,640
114,451
115,495
116,621
117,630
118,636
119,542
120,570
121,428
122,435
123,412
124,559
125,586
126,642
127,485
128,683
129,465
130,569
131,444
132,461
133,533
134,683
135,427
136,507
137,443
138,685
139,527
140,630
141,589
142,624
143,682
144,520
145,515
146,632
147,658
148,597
149,536
150,564
151,624
152,633
153,571
154,551
155,559
156,495
157,632
158,579
159,512
160,451
161,667
162,694
163,512
164,500
165,512
166,480
167,586
168,512
169,401
170,529
171,619
172,453
173,623
174,624
175,525
176,529
177,452
178,571
179,617
180,559
181,597
182,646
183,602
184,583
185,522
186,654
187,693
188,679
189,497
190,597
191,639
192,543
193,496
194,600
195,523
196,586
197,658
198,547
199,651
200,546
201,547
202,598
203,527
204,438
205,528
206,666
207,550
208,697
209,498
210,662
211,651
212,543
213,511
214,459
215,401
216,653
217,539
218,436
219,559
220,408
221,632
222,498
223,546
224,607
225,530
226,551
227,453
228,519
229,560
230,515
231,474
232,512
233,503
234,653
235,626
236,511
237,498
238,552
239,593
240,562
241,607
242,568
243,560
244,467
245,688
246,676
247,534
248,594
249,527
250,432
251,575
252,421
253,637
254,557
255,437
256,629
257,450
258,663
259,682
260,426
261,625
262,676
263,685
264,496
265,683
266,546
267,403
268,434
269,591
270,448
271,416
272,571
273,619
274,557
275,445
276,405
277,498
278,632
279,436
280,679
281,580
282,494
283,498
284,587
285,515
286,590
287,652
288,560
289,655
290,527
291,417
292,680
293,622
294,453
295,457
296,573
297,679
298,513
299,687
300,550
